-- run 1 events --
class             start      dur     rest
-----             -----     ----     ----
  2 (absent)       6.00     0.25     7.30
  2 (absent)      13.55     0.25     6.05
  1 (low_vis)     19.85     0.25     5.90
  0 (high_vis)    26.00     0.25     6.60
  2 (absent)      32.85     0.25     8.40
  0 (high_vis)    41.50     0.25     6.30
  1 (low_vis)     48.05     0.25     8.55
  2 (absent)      56.85     0.25     8.60
  2 (absent)      65.70     0.25     7.60
  0 (high_vis)    73.55     0.25     7.55
  2 (absent)      81.35     0.25     8.35
  0 (high_vis)    89.95     0.25     8.90
  0 (high_vis)    99.10     0.25     6.60
  2 (absent)     105.95     0.25     7.20
  1 (low_vis)    113.40     0.25     8.45
  1 (low_vis)    122.10     0.25     8.60
  1 (low_vis)    130.95     0.25     8.45
  2 (absent)     139.65     0.25     8.80
  1 (low_vis)    148.70     0.25     6.15
  1 (low_vis)    155.10     0.25     7.45
  0 (high_vis)   162.80     0.25     7.45
  1 (low_vis)    170.50     0.25     8.90
  2 (absent)     179.65     0.25     6.75
  1 (low_vis)    186.65     0.25     6.95
  2 (absent)     193.85     0.25     7.50
  1 (low_vis)    201.60     0.25     7.55
  0 (high_vis)   209.40     0.25     8.40
  0 (high_vis)   218.05     0.25     6.20
  0 (high_vis)   224.50     0.25     6.35
  1 (low_vis)    231.10     0.25     8.60
  2 (absent)     239.95     0.25     8.45
  0 (high_vis)   248.65     0.25     5.50
  2 (absent)     254.40     0.25     7.55
  1 (low_vis)    262.20     0.25     6.10
  0 (high_vis)   268.55     0.25     7.45
  0 (high_vis)   276.25     0.25     7.10
  1 (low_vis)    283.60     0.25     6.45
  0 (high_vis)   290.30     0.25     6.90
  2 (absent)     297.45     0.25     8.05
  2 (absent)     305.75     0.25     7.15
  2 (absent)     313.15     0.25     6.65
  1 (low_vis)    320.05     0.25     7.65
  0 (high_vis)   327.95     0.25     5.60
  1 (low_vis)    333.80     0.25     8.85
  0 (high_vis)   342.90     0.25     6.85

-- run 2 events --
class             start      dur     rest
-----             -----     ----     ----
  1 (low_vis)      6.00     0.25     8.55
  2 (absent)      14.80     0.25     7.50
  1 (low_vis)     22.55     0.25     8.70
  1 (low_vis)     31.50     0.25     7.05
  2 (absent)      38.80     0.25     7.95
  2 (absent)      47.00     0.25     8.15
  0 (high_vis)    55.40     0.25     5.65
  2 (absent)      61.30     0.25     8.05
  1 (low_vis)     69.60     0.25     7.80
  1 (low_vis)     77.65     0.25     5.55
  1 (low_vis)     83.45     0.25     7.10
  1 (low_vis)     90.80     0.25     5.55
  2 (absent)      96.60     0.25     9.00
  0 (high_vis)   105.85     0.25     8.55
